product_category_name,product_category_name_english
Beleza Saude,health_beauty
Informatica Acessorios,computers_accessories
Automotivo,auto
Cama Mesa Banho,bed_bath_table
Moveis Decoracao,furniture_decor
Esporte Lazer,sports_leisure
Perfumaria,perfumery
Utilidades Domesticas,housewares
Telefonia,telephony
Relogios Presentes,watches_gifts
Alimentos Bebidas,food_drink
Bebes,baby
Papelaria,stationery
Tablets Impressao Imagem,tablets_printing_image
Brinquedos,toys
Telefonia Fixa,fixed_telephony
Ferramentas Jardim,garden_tools
Fashion Bolsas E Acessorios,fashion_bags_accessories
Eletroportateis,small_appliances
Consoles Games,consoles_games
Audio,audio
Fashion Calcados,fashion_shoes
Cool Stuff,cool_stuff
Malas Acessorios,luggage_accessories
Climatizacao,air_conditioning
Construcao Ferramentas Construcao,construction_tools_construction
Moveis Cozinha Area De Servico Jantar E Jardim,kitchen_dining_laundry_garden_furniture
Construcao Ferramentas Jardim,costruction_tools_garden
Fashion Roupa Masculina,fashion_male_clothing
Pet Shop,pet_shop
Moveis Escritorio,office_furniture
Market Place,market_place
Eletronicos,electronics
Eletrodomesticos,home_appliances
Artigos De Festas,party_supplies
Casa Conforto,home_confort
Construcao Ferramentas Ferramentas,costruction_tools_tools
Agro Industria E Comercio,agro_industry_and_commerce
Moveis Colchao E Estofado,furniture_mattress_and_upholstery
Livros Tecnicos,books_technical
Casa Construcao,home_construction
Instrumentos Musicais,musical_instruments
Moveis Sala,furniture_living_room
Construcao Ferramentas Iluminacao,construction_tools_lights
Industria Comercio E Negocios,industry_commerce_and_business
Alimentos,food
Artes,art
Moveis Quarto,furniture_bedroom
Livros Interesse Geral,books_general_interest
Construcao Ferramentas Seguranca,construction_tools_safety
Fashion Underwear E Moda Praia,fashion_underwear_beach
Fashion Esporte,fashion_sport
Sinalizacao E Seguranca,signaling_and_security
Pcs,computers
Artigos De Natal,christmas_supplies
Fashion Roupa Feminina,fashio_female_clothing
Eletrodomesticos 2,home_appliances_2
Livros Importados,books_imported
Bebidas,drinks
Cine Foto,cine_photo
La Cuisine,la_cuisine
Musica,music
Casa Conforto 2,home_comfort_2
Portateis Casa Forno E Cafe,small_appliances_home_oven_and_coffee
Cds Dvds Musicais,cds_dvds_musicals
Dvds Blu Ray,dvds_blu_ray
Flores,flowers
Artes E Artesanato,arts_and_craftmanship
Fraldas Higiene,diapers_and_hygiene
Fashion Roupa Infanto Juvenil,fashion_childrens_clothes
Seguros E Servicos,security_and_services
